idtaxi;endereco;telefone;longitude;latitude
11919;AV JOAO PESSOA 85;0;-51,2228;-30,0333
11920;R SARMENTO LEITE 740;0;-51,2226;-30,0356
11921;R GEN LIMA E SILVA 776;0;-51,22;-30,0394
11922;R REPUBLICA 24;0;-51,2202;-30,0364
11923;AV JOAO PESSOA 599;0;-51,2199;-30,0369
11924;R CALDAS JUNIOR 261;0;-51,2317;-30,0308
11925;R CALDAS JUNIOR 180;0;-51,2323;-30,0298
11926;R CAPITAO MONTANHA 37;0;-51,2323;-30,0289
11927;R GAL CAMARA 521;0;-51,2302;-30,0323
11928;R GAL CAMARA 376;0;-51,2299;-30,0308
11929;R GAL CAMARA 156;0;-51,2301;-30,0291
11930;R URUGUAI 155;0;-51,2291;-30,0281
11931;AV BORGES DE MEDEIROS 688;0;-51,228;-30,0325
11932;AV GAL ANDRADE NEVES 159;0;-51,2282;-30,0309
11933;AV BORGES DE MEDEIROS 450;0;-51,2278;-30,0305
11934;R MARECHAL FLORIANO PEIXOTO 91;0;-51,2269;-30,0298
11935;R JERONIMO COELHO 325;0;-51,2259;-30,0326
11936;R VIGARIO JOSE INACIO 618;0;-51,226;-30,0312
11937;R DR FLORES 449;0;-51,2249;-30,0316
11938;R DR FLORES 263;0;-51,2248;-30,0297
11939;AV BORGES DE MEDEIROS 262;0;-51,228;-30,0286
11940;R VIGARIO JOSE INACIO 114;0;-51,2257;-30,0266
11941;R PROF ANNES DIAS 155;0;-51,2234;-30,0312
11942;R SENHOR DOS PASSOS 259;0;-51,2235;-30,0294
11943;R ANNES DIAS 285;0;-51,2222;-30,0301
11944;AV INDEPENDENCIA 155;0;-51,2215;-30,0298
11945;R SENHOR DOS PASSOS 30;0;-51,224;-30,0273
11946;AV ALBERTO BINS 308;0;-51,2235;-30,0282
11947;R CARLOS CHAGAS 55;0;-51,223;-30,025
11948;AV ALBERTO BINS 514;0;-51,2218;-30,0281
11949;R PINTO BANDEIRA 280;0;-51,2224;-30,027
11950;R COM MANOEL PEREIRA 72;0;-51,2215;-30,026
11951;AV INDEPENDENCIA 275;0;-51,2189;-30,0296
11952;R DA CONCEICAO 127;0;-51,2204;-30,0244
11953;R DA CONCEICAO 120;0;-51,2201;-30,0237
11954;LG VESPASIANO JULIO VEPPO;0;-51,2193;-30,0238
11955;AV CINCO DE NOVEMBRO 30;0;-51,2145;-30,0757
11956;R CLEMENCIANO BARNASQUE 30;0;-51,2117;-30,0818
11957;PRACA GUIA LOPES 72;0;-51,2118;-30,0815
11958;AV TERESOPOLIS 2888;0;-51,2092;-30,0793
11959;AV PROF OSCAR PEREIRA 2728;0;-51,2025;-30,0742
11960;R NUNES 596;0;-51,2048;-30,0701
11961;R GAL CUNHA LOUZADA 10;0;-51,2047;-30,0695
11962;R DONA CECILIA 18;0;-51,2155;-30,0577
11963;R BOTAFOGO 1455;0;-51,2148;-30,0553
11964;R MARCILIO DIAS 1565;0;-51,2132;-30,0506
11965;PCA PRINCESA ISABEL S/N;0;-51,2129;-30,0507
11966;R PROF OSCAR PEREIRA 400;0;-51,2111;-30,0547
11967;R MOISES ANTUNES DA CUNHA 55;0;-51,2072;-30,0606
11968;R TOMAS EDSON 61;0;-51,2011;-30,0588
11969;R CARLOS PESSOA DE BRUM 150;0;-51,2067;-30,0566
